iter	Logloss
0	0.6689899286
1	0.6497871083
2	0.6341304441
3	0.6220606142
4	0.6118303923
5	0.6038812749
6	0.5959388822
7	0.589985382
8	0.5851670664
9	0.580469042
10	0.5769069458
11	0.5735355849
12	0.5710512081
13	0.5687793529
14	0.5668306791
15	0.56508514
16	0.5635659746
17	0.5622695921
18	0.56088207
19	0.5600944383
20	0.5591413738
21	0.5582007253
22	0.5573242821
23	0.5566329098
24	0.5560016501
25	0.5553512966
26	0.5547975241
27	0.5542066155
28	0.5537798401
29	0.5534386689
30	0.5530034499
31	0.5526240827
32	0.5523112952
33	0.5519631646
34	0.5516668126
35	0.5514048854
36	0.5512384795
37	0.5509782791
38	0.5507018101
39	0.5504285363
40	0.5501931829
41	0.5500515655
42	0.5496731416
43	0.5494590145
44	0.5492996462
45	0.5491388339
46	0.5490314164
47	0.5488070045
48	0.5486390427
49	0.5484531551
50	0.5482915764
51	0.5481691133
52	0.5480444329
53	0.5479347925
54	0.5478446973
55	0.5477446099
56	0.5475749484
57	0.5475200116
58	0.5473905821
59	0.5471869314
60	0.5470801859
61	0.5469868512
62	0.5468852951
63	0.5468329598
64	0.5467650475
65	0.5466477963
66	0.5465344506
67	0.5464822509
68	0.5464262566
69	0.5462636872
70	0.5461749707
71	0.546104125
72	0.5459850199
73	0.5459335581
74	0.5458971725
75	0.5458210993
76	0.5457173709
77	0.545651487
78	0.5455854247
79	0.5455084301
80	0.5454801743
81	0.545453397
82	0.5453873427
83	0.5453536663
84	0.5453130514
85	0.5452360794
86	0.5451860233
87	0.5451387423
88	0.5450613513
89	0.5449694149
90	0.5449124506
91	0.5448741903
92	0.5447984777
93	0.5447323301
94	0.5446601551
95	0.5445903611
96	0.5445545043
97	0.5444908173
98	0.5444418608
99	0.5444002329
100	0.5443178811
101	0.5442800351
102	0.5442447943
103	0.5442233673
104	0.5441622716
105	0.5441293908
106	0.5441104949
107	0.5440475334
108	0.5439994405
109	0.5439299475
110	0.5438506445
111	0.5438037133
112	0.5437651249
113	0.5437339615
114	0.5436899025
115	0.5436583992
116	0.5436200196
117	0.5435651437
118	0.5434892967
119	0.5434675423
120	0.5434395681
121	0.5433815794
122	0.5433476597
123	0.5432974474
124	0.5432636165
125	0.5432138927
126	0.5431747711
127	0.543141475
128	0.5431054975
129	0.5430586003
130	0.5430054222
131	0.5429523394
132	0.5429094539
133	0.5428782324
134	0.5428561304
135	0.5428162415
136	0.5427772738
137	0.5427388857
138	0.5427107873
139	0.5426769732
140	0.5426462651
141	0.5425910005
142	0.5425738616
143	0.5425387285
144	0.5424948596
145	0.542451944
146	0.5424262896
147	0.5424004734
148	0.5423805524
149	0.5423408823
150	0.5423193597
151	0.5423036185
152	0.5422742337
153	0.5422416692
154	0.5422171411
155	0.5421702775
156	0.5421433583
157	0.5421155568
158	0.5420945357
159	0.5420715873
160	0.5420460522
161	0.5420309788
162	0.5420116517
163	0.5419574153
164	0.5419423021
165	0.5418975243
166	0.541868551
167	0.5418442646
168	0.5418232462
169	0.5418015128
170	0.5417854775
171	0.541764071
172	0.5417278759
173	0.5416743243
174	0.5416467577
175	0.5416137758
176	0.5415816695
177	0.5415448601
178	0.5415345502
179	0.5415159919
180	0.5414963418
181	0.5414595475
182	0.5414341905
183	0.5413919862
184	0.5413723003
185	0.541348889
186	0.5413276602
187	0.5413048242
188	0.5412724921
189	0.5412549406
190	0.5412196124
191	0.5411770337
192	0.5411358666
193	0.5410997036
194	0.5410737346
195	0.5410529868
196	0.5410262478
197	0.5409972144
198	0.5409533065
199	0.5409299536
200	0.5409038187
201	0.5408834026
202	0.5408710248
203	0.5408464841
204	0.5408279716
205	0.5408147899
206	0.540803263
207	0.5407738966
208	0.5407571577
209	0.5407459419
210	0.5407251397
211	0.5406834783
212	0.5406540033
213	0.5406302951
214	0.5405870438
215	0.5405430816
216	0.5405188943
217	0.5404951071
218	0.5404797662
219	0.5404662837
220	0.5404415377
221	0.5404188664
222	0.5403954989
223	0.5403724503
224	0.5403564334
225	0.5403381302
226	0.540313525
227	0.5403009895
228	0.54027744
229	0.5402546389
230	0.5402357475
231	0.5402051756
232	0.5401961465
233	0.5401810202
234	0.5401626453
235	0.5401360374
236	0.5401046469
237	0.5400918605
238	0.5400648115
239	0.5400206342
240	0.539988914
241	0.5399660683
242	0.5399467917
243	0.5399320085
244	0.5399143609
245	0.5398765714
246	0.539860594
247	0.5398456849
248	0.5398307296
249	0.5398062848
250	0.5397771711
251	0.5397604608
252	0.5397317471
253	0.5397076086
254	0.5396834256
255	0.5396667692
256	0.5396433576
257	0.5396251738
258	0.5396032291
259	0.5395888656
260	0.5395662101
261	0.53956044
262	0.5395382357
263	0.5395121153
264	0.5394868331
265	0.5394561333
266	0.5394386354
267	0.5394172039
268	0.5393959151
269	0.5393651024
270	0.5393496142
271	0.5393324105
272	0.5393248604
273	0.5393103279
274	0.5392872959
275	0.5392590777
276	0.5392362011
277	0.5392180699
278	0.5391977326
279	0.5391677598
280	0.5391515334
281	0.539134953
282	0.5391264056
283	0.5391109454
284	0.5390926818
285	0.5390622861
286	0.5390398516
287	0.5390087546
288	0.5389799639
289	0.5389683594
290	0.5389510533
291	0.5389409001
292	0.5389292959
293	0.5389046523
294	0.5388913597
295	0.5388637696
296	0.5388453838
297	0.5388340308
298	0.5388195493
299	0.5388012582
300	0.5387624696
301	0.5387211976
302	0.5386987912
303	0.5386746134
304	0.5386537841
305	0.53863178
306	0.5386071233
307	0.5385935214
308	0.538566041
309	0.5385406406
310	0.5385295938
311	0.538515045
312	0.538499476
313	0.5384932937
314	0.5384763587
315	0.5384539788
316	0.5384355111
317	0.5384067855
318	0.5383878898
319	0.5383712009
320	0.5383604773
321	0.5383440784
322	0.5383218328
323	0.5382946035
324	0.5382860545
325	0.5382694561
326	0.5382523248
327	0.5382271871
328	0.5382144751
329	0.5381979282
330	0.5381709852
331	0.5381610542
332	0.5381488297
333	0.5381232916
334	0.5381040593
335	0.538079788
336	0.5380704041
337	0.5380515996
338	0.5380306684
339	0.5380111335
340	0.5379860242
341	0.5379769591
342	0.5379640074
343	0.5379539234
344	0.5379402227
345	0.5379211178
346	0.5378979572
347	0.537876145
348	0.5378613459
349	0.5378455161
350	0.5378262315
351	0.5378209214
352	0.5378015664
353	0.5377756172
354	0.5377588768
355	0.5377474474
356	0.5377388499
357	0.5377254823
358	0.5377145932
359	0.537703208
360	0.5376815903
361	0.5376583052
362	0.5376413512
363	0.5376301428
364	0.5376213946
365	0.5376048814
366	0.5375901961
367	0.5375598674
368	0.5375469707
369	0.537521807
370	0.5375034447
371	0.5374778129
372	0.5374706056
373	0.5374202325
374	0.5374061501
375	0.5373861443
376	0.5373534471
377	0.5373403055
378	0.53732824
379	0.5373048816
380	0.5372901313
381	0.5372646289
382	0.5372486096
383	0.5372270595
384	0.5372074296
385	0.5371980551
386	0.537182853
387	0.5371739577
388	0.5371487098
389	0.5371332284
390	0.5371199723
391	0.5371090912
392	0.5371004753
393	0.5370783913
394	0.5370624306
395	0.5370500764
396	0.5370255373
397	0.5369999424
398	0.5369925324
399	0.5369804837
400	0.536956335
401	0.5369337445
402	0.5369200637
403	0.5369020443
404	0.53687704
405	0.5368626323
406	0.5368425783
407	0.5368186614
408	0.5367781073
409	0.5367645851
410	0.5367571252
411	0.5367438471
412	0.5367283646
413	0.5367091466
414	0.5366811371
415	0.5366653925
416	0.5366523742
417	0.5366327809
418	0.5366222478
419	0.5366073069
420	0.5365882274
421	0.5365762378
422	0.5365587316
423	0.5365465382
424	0.5365401073
425	0.5365328168
426	0.5365166786
427	0.5365080266
428	0.5364921354
429	0.5364818008
430	0.5364709131
431	0.5364549975
432	0.5364405784
433	0.5364203565
434	0.5363974984
435	0.5363876542
436	0.5363694778
437	0.5363536031
438	0.536340658
439	0.5363223882
440	0.5362993357
441	0.5362925016
442	0.5362802971
443	0.5362688826
444	0.5362596219
445	0.5362492813
446	0.5362392086
447	0.5362222914
448	0.5362026752
449	0.5361833063
450	0.536160899
451	0.5361360342
452	0.5361233321
453	0.536112674
454	0.536098048
455	0.5360854446
456	0.5360697166
457	0.536048835
458	0.5360318287
459	0.5360061884
460	0.5359867586
461	0.5359662001
462	0.5359544143
463	0.5359453972
464	0.5359342838
465	0.5359201568
466	0.5359124669
467	0.535886615
468	0.5358569353
469	0.5358505979
470	0.5358322735
471	0.5358246097
472	0.5358139854
473	0.5357959888
474	0.5357809337
475	0.5357642251
476	0.5357458394
477	0.5357372906
